Date,Sales,Month,DayOfWeek,Year,Week
2013-01-06,879005.0,1,6,2013,1
2013-01-13,915954.0,1,6,2013,2
2013-01-20,907152.0,1,6,2013,3
2013-01-27,894625.0,1,6,2013,4
2013-02-03,990025.0,2,6,2013,5
2013-02-10,945241.0,2,6,2013,6
2013-02-17,991277.0,2,6,2013,7
2013-02-24,966006.0,2,6,2013,8
2013-03-03,1079562.0,3,6,2013,9
2013-03-10,1049058.0,3,6,2013,10
2013-03-17,982472.0,3,6,2013,11
2013-03-24,995216.0,3,6,2013,12
2013-03-31,1035894.0,3,6,2013,13
2013-04-07,1190640.0,4,6,2013,14
2013-04-14,1040459.0,4,6,2013,15
2013-04-21,1055884.0,4,6,2013,16
2013-04-28,995625.0,4,6,2013,17
2013-05-05,1261779.0,5,6,2013,18
2013-05-12,1063696.0,5,6,2013,19
2013-05-19,1074601.0,5,6,2013,20
2013-05-26,1030879.0,5,6,2013,21
2013-06-02,1167501.0,6,6,2013,22
2013-06-09,1204309.0,6,6,2013,23
2013-06-16,1033460.0,6,6,2013,24
2013-06-23,1068733.0,6,6,2013,25
2013-06-30,1092219.0,6,6,2013,26
2013-07-07,1250142.0,7,6,2013,27
2013-07-14,1055076.0,7,6,2013,28
2013-07-21,1072602.0,7,6,2013,29
2013-07-28,1041072.0,7,6,2013,30
2013-08-04,1242908.0,8,6,2013,31
2013-08-11,1150829.0,8,6,2013,32
2013-08-18,1119594.0,8,6,2013,33
2013-08-25,1092125.0,8,6,2013,34
2013-09-01,1196595.0,9,6,2013,35
2013-09-08,1286503.0,9,6,2013,36
2013-09-15,1102492.0,9,6,2013,37
2013-09-22,1080616.0,9,6,2013,38
2013-09-29,1064930.0,9,6,2013,39
2013-10-06,1313815.0,10,6,2013,40
2013-10-13,1112692.0,10,6,2013,41
2013-10-20,1144282.0,10,6,2013,42
2013-10-27,1077439.0,10,6,2013,43
2013-11-03,1218645.0,11,6,2013,44
2013-11-10,1234171.0,11,6,2013,45
2013-11-17,1131645.0,11,6,2013,46
2013-11-24,1094186.0,11,6,2013,47
2013-12-01,1180659.0,12,6,2013,48
2013-12-08,1377497.0,12,6,2013,49
2013-12-15,1394415.0,12,6,2013,50
2013-12-22,1669781.0,12,6,2013,51
2013-12-29,1318779.0,12,6,2013,52
2014-01-05,1308389.179,1,6,2014,1
2014-01-12,1172560.092,1,6,2014,2
2014-01-19,1103189.226,1,6,2014,3
2014-01-26,1087640.466,1,6,2014,4
2014-02-02,1176831.574,2,6,2014,5
2014-02-09,1209901.0,2,6,2014,6
2014-02-16,1149529.0,2,6,2014,7
2014-02-23,1097424.0,2,6,2014,8
2014-03-02,1171570.644,3,6,2014,9
2014-03-09,1374088.681,3,6,2014,10
2014-03-16,1180230.197,3,6,2014,11
2014-03-23,1183400.187,3,6,2014,12
2014-03-30,1181154.0,3,6,2014,13
2014-04-06,1387407.357,4,6,2014,14
2014-04-13,1154046.405,4,6,2014,15
2014-04-20,1167560.305,4,6,2014,16
2014-04-27,1120370.382,4,6,2014,17
2014-05-04,1308342.589,5,6,2014,18
2014-05-11,1170939.023,5,6,2014,19
2014-05-18,1192189.487,5,6,2014,20
2014-05-25,1123989.664,5,6,2014,21
2014-06-01,1239007.225,6,6,2014,22
2014-06-08,1337270.172,6,6,2014,23
2014-06-15,1142521.167,6,6,2014,24
2014-06-22,1174382.16,6,6,2014,25
2014-06-29,1127874.208,6,6,2014,26
2014-07-06,1414772.986,7,6,2014,27
2014-07-13,1165142.668,7,6,2014,28
2014-07-20,1158531.022,7,6,2014,29
2014-07-27,1129612.821,7,6,2014,30
2014-08-03,1294079.413,8,6,2014,31
2014-08-10,1216209.35,8,6,2014,32
2014-08-17,1180804.241,8,6,2014,33
2014-08-24,1177774.757,8,6,2014,34
2014-08-31,1227101.017,8,6,2014,35
2014-09-07,1447599.706,9,6,2014,36
2014-09-14,1214198.667,9,6,2014,37
2014-09-21,1212111.406,9,6,2014,38
2014-09-28,1151367.897,9,6,2014,39
2014-10-05,1433364.175,10,6,2014,40
2014-10-12,1281371.326,10,6,2014,41
2014-10-19,1238994.358,10,6,2014,42
2014-10-26,1185102.168,10,6,2014,43
2014-11-02,1187442.644,11,6,2014,44
2014-11-09,1470279.293,11,6,2014,45
2014-11-16,1228645.087,11,6,2014,46
2014-11-23,1235066.879,11,6,2014,47
2014-11-30,1315122.342,11,6,2014,48
2014-12-07,1601502.391,12,6,2014,49
